Phylum,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Acidobacteriota,Bacteria,Bacteria,Both,Match,Direct_Name,3175,1891,12455,370
Actinomycetota,Bacteria,Bacteria,Both,Match,Direct_Name,44996,11737,95708,17985
Aquificota,Bacteria,Bacteria,Both,Match,Direct_Name,216,132,542,60
Armatimonadota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,523,309,1170,96
Atribacterota,Bacteria,Bacteria,Both,Match,Direct_Name,91,55,267,61
Bacillota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,178462,23162,605378,14412
Bacteroidota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,76591,14787,120577,7329
Bdellovibrionota,Bacteria,Bacteria,Both,Match,Direct_Name,772,552,2013,247
Caldisericota,Bacteria,Bacteria,Both,Match,Direct_Name,101,49,207,21
Calditrichota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,69,46,274,13
Campylobacterota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,11149,1100,149466,750
Chlamydiota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,891,311,1410,114
Chloroflexota,Bacteria,Bacteria,Both,Match,Direct_Name,4762,2749,14682,716
Chrysiogenota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,3,11,6
Coprothermobacterota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,14,7,37,6
Cyanobacteriota,Bacteria,Bacteria,Both,Match,Direct_Name,5634,2214,7688,3955
Deferribacterota,Bacteria,Bacteria,Both,Match,Direct_Name,613,50,942,37
Deinococcota,Bacteria,Bacteria,Both,Match,Direct_Name,485,211,824,202
Dictyoglomota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,16,9,29,8
Elusimicrobiota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,787,376,1190,157
Fibrobacterota,Bacteria,Bacteria,Both,Match,Direct_Name,381,194,691,88
Fidelibacterota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,822,275,1358,98
Fusobacteriota,Bacteria,Bacteria,Both,Match,Direct_Name,695,138,1475,157
Gemmatimonadota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,988,535,4545,129
Halobacteriota,Archaea,Archaea,Both,Match,Direct_Name,2351,1223,16,1
Methanobacteriota,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1027,395,7771,1758
Myxococcota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1518,974,5787,255
Nitrospinota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,218,113,501,41
Nitrospirota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1237,599,3039,229
Planctomycetota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3814,2339,10360,498
Promethearchaeota,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI,409,296,371,11
Pseudomonadota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,214930,27965,1480377,33389
Spirochaetota,Bacteria,Bacteria,Both,Match,Direct_Name,4402,1348,7841,524
Synergistota,Bacteria,Bacteria,Both,Match,Direct_Name,511,208,954,137
Thermodesulfobacteriota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,5381,2531,8493,902
Thermodesulfobiota,Bacteria,Bacteria,Both,Match,Direct_Name,7,3,12,5
Thermoplasmatota,Archaea,Archaea,Both,Match,Direct_Name,3169,1064,5584,484
Thermoproteota,Archaea,Archaea,Both,Match,Direct_Name,2535,1264,2576,250
Thermosulfidibacterota,Bacteria,Bacteria,Both,Match,Direct_Name,18,13,4,3
Thermotogota,Bacteria,Bacteria,Both,Match,Direct_Name,340,108,741,157
Verrucomicrobiota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,6636,2454,12194,606
Vulcanimicrobiota,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,335,167,629,23
Abditibacteriota,,Bacteria,NCBI_Only,No_Match,None,0,0,45,7
Balneolota,,Bacteria,NCBI_Only,No_Match,None,0,0,523,89
Chlorobiota,,Bacteria,NCBI_Only,No_Match,None,0,0,813,56
Ignavibacteriota,,Bacteria,NCBI_Only,No_Match,None,0,0,1582,116
Kiritimatiellota,,Bacteria,NCBI_Only,No_Match,None,0,0,613,22
Lentisphaerota,,Bacteria,NCBI_Only,No_Match,None,0,0,1031,63
Mycoplasmatota,,Bacteria,NCBI_Only,No_Match,None,0,0,5182,614
Nanobdellota,,Archaea,NCBI_Only,No_Match,None,0,0,754,27
Nitrososphaerota,,Archaea,NCBI_Only,No_Match,None,0,0,3748,252
Rhodothermota,,Bacteria,NCBI_Only,No_Match,None,0,0,662,48
Thermomicrobiota,,Bacteria,NCBI_Only,No_Match,None,0,0,277,20
